type, size, time
Multiplication, 600, 0.268
Multiplication, 600, 0.293
Multiplication, 600, 0.293
Multiplication, 600, 0.359
Multiplication, 600, 0.334
Multiplication, 600, 0.312
Multiplication, 600, 0.304
Multiplication, 600, 0.305
Multiplication, 600, 0.304
Multiplication, 600, 0.312
Multiplication, 1000, 2.480
Multiplication, 1000, 2.269
Multiplication, 1000, 2.356
Multiplication, 1000, 2.393
Multiplication, 1000, 2.425
Multiplication, 1000, 2.457
Multiplication, 1000, 2.368
Multiplication, 1000, 2.436
Multiplication, 1000, 2.264
Multiplication, 1000, 2.315
Multiplication, 1400, 6.631
Multiplication, 1400, 6.702
Multiplication, 1400, 6.626
Multiplication, 1400, 6.595
Multiplication, 1400, 6.932
Multiplication, 1400, 7.160
Multiplication, 1400, 7.039
Multiplication, 1400, 7.145
Multiplication, 1400, 7.249
Multiplication, 1400, 6.916
Multiplication, 1800, 22.360
Multiplication, 1800, 22.614
Multiplication, 1800, 23.032
Multiplication, 1800, 22.065
Multiplication, 1800, 21.994
Multiplication, 1800, 22.017
Multiplication, 1800, 21.848
Multiplication, 1800, 21.868
Multiplication, 1800, 21.907
Multiplication, 1800, 21.871
Multiplication, 2200, 46.386
Multiplication, 2200, 46.960
Multiplication, 2200, 46.563
Multiplication, 2200, 46.349
Multiplication, 2200, 46.574
Multiplication, 2200, 46.068
Multiplication, 2200, 46.033
Multiplication, 2200, 46.202
Multiplication, 2200, 46.295
Multiplication, 2200, 48.220
Multiplication, 2600, 81.563
Multiplication, 2600, 81.746
Multiplication, 2600, 81.575
Multiplication, 2600, 81.128
Multiplication, 2600, 81.048
Multiplication, 2600, 81.934
Multiplication, 2600, 81.594
Multiplication, 2600, 81.219
Multiplication, 2600, 81.047
Multiplication, 2600, 80.821
Multiplication, 3000, 131.389
Multiplication, 3000, 132.645
Multiplication, 3000, 131.840
Multiplication, 3000, 132.471
Multiplication, 3000, 132.229
Multiplication, 3000, 133.989
Multiplication, 3000, 132.678
Multiplication, 3000, 136.046
Multiplication, 3000, 132.896
Multiplication, 3000, 132.268
Line Multiplication, 600, 0.159
Line Multiplication, 600, 0.206
Line Multiplication, 600, 0.207
Line Multiplication, 600, 0.207
Line Multiplication, 600, 0.206
Line Multiplication, 600, 0.207
Line Multiplication, 600, 0.206
Line Multiplication, 600, 0.205
Line Multiplication, 600, 0.205
Line Multiplication, 600, 0.206
Line Multiplication, 1000, 1.038
Line Multiplication, 1000, 1.043
Line Multiplication, 1000, 1.029
Line Multiplication, 1000, 1.059
Line Multiplication, 1000, 1.182
Line Multiplication, 1000, 1.038
Line Multiplication, 1000, 1.026
Line Multiplication, 1000, 1.025
Line Multiplication, 1000, 1.042
Line Multiplication, 1000, 1.031
Line Multiplication, 1400, 2.926
Line Multiplication, 1400, 2.924
Line Multiplication, 1400, 2.915
Line Multiplication, 1400, 3.022
Line Multiplication, 1400, 2.907
Line Multiplication, 1400, 2.916
Line Multiplication, 1400, 2.914
Line Multiplication, 1400, 2.923
Line Multiplication, 1400, 2.933
Line Multiplication, 1400, 2.910
Line Multiplication, 1800, 6.238
Line Multiplication, 1800, 6.280
Line Multiplication, 1800, 6.253
Line Multiplication, 1800, 6.256
Line Multiplication, 1800, 6.307
Line Multiplication, 1800, 6.262
Line Multiplication, 1800, 6.269
Line Multiplication, 1800, 6.276
Line Multiplication, 1800, 6.275
Line Multiplication, 1800, 6.293
Line Multiplication, 2200, 11.565
Line Multiplication, 2200, 11.478
Line Multiplication, 2200, 11.509
Line Multiplication, 2200, 11.483
Line Multiplication, 2200, 11.624
Line Multiplication, 2200, 11.468
Line Multiplication, 2200, 11.485
Line Multiplication, 2200, 11.443
Line Multiplication, 2200, 11.457
Line Multiplication, 2200, 11.459
Line Multiplication, 2600, 18.937
Line Multiplication, 2600, 18.932
Line Multiplication, 2600, 18.917
Line Multiplication, 2600, 18.962
Line Multiplication, 2600, 18.952
Line Multiplication, 2600, 18.946
Line Multiplication, 2600, 18.962
Line Multiplication, 2600, 18.973
Line Multiplication, 2600, 18.927
Line Multiplication, 2600, 18.918
Line Multiplication, 3000, 30.262
Line Multiplication, 3000, 29.304
Line Multiplication, 3000, 29.176
Line Multiplication, 3000, 30.669
Line Multiplication, 3000, 30.283
Line Multiplication, 3000, 29.314
Line Multiplication, 3000, 29.130
Line Multiplication, 3000, 29.146
Line Multiplication, 3000, 29.562
Line Multiplication, 3000, 29.134
